STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       4931;19400501;19400531;    5;  -999;  13.00;   18.00;    7.30;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19400601;19400630;    5;  -999;  16.20;   20.90;   10.20;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19400701;19400731;    5;  -999;  16.20;   20.70;   10.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19400801;19400831;    5;  -999;  14.70;   19.60;    9.30;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19400901;19400930;    5;  -999;  13.40;   18.30;    9.10;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19401001;19401031;    5;  -999;   8.20;   11.70;    4.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19401101;19401130;    5;  -999;   5.50;    9.20;    2.10;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19401201;19401231;    5;  -999;  -3.80;   -1.20;   -7.20;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19410101;19410131;    5;  -999;  -5.30;   -2.00;   -8.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19410201;19410228;    5;  -999;   1.20;    4.60;   -2.10;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19410301;19410331;    5;  -999;   4.70;    9.80;    0.20;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19410401;19410430;    5;  -999;   6.00;   10.40;    1.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19410501;19410531;    5;  -999;   9.10;   14.30;    4.10;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19410601;19410630;    5;  -999;  16.40;   21.40;   11.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19410701;19410731;    5;  -999;  18.20;   23.40;   12.60;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19410801;19410831;    5;  -999;  15.30;   20.20;   10.60;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19410901;19410930;    5;  -999;  12.50;   18.60;    6.40;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19411001;19411031;    5;  -999;   7.90;   11.10;    5.40;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19411101;19411130;    5;  -999;   2.40;    5.70;   -0.40;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19411201;19411231;    5;  -999;   0.90;    3.80;   -1.90;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19420101;19420131;    5;  -999;  -7.40;   -3.80;  -11.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19420201;19420228;    5;  -999;  -5.00;   -1.80;   -9.20;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19420301;19420331;    5;  -999;   4.00;    8.60;   -0.60;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19420401;19420430;    5;  -999;   8.50;   13.10;    4.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19420501;19420531;    5;  -999;  12.50;   17.90;    7.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19420601;19420630;    5;  -999;  15.20;   19.90;    9.10;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19420701;19420731;    5;  -999;  16.50;   22.00;   11.60;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19420801;19420831;    5;  -999;  17.60;   23.90;   11.40;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19420901;19420930;    5;  -999;  16.00;   22.00;   10.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19421001;19421031;    5;  -999;  12.10;   16.90;    7.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19421101;19421130;    5;  -999;   2.70;    5.20;    0.30;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19421201;19421231;    5;  -999;   1.40;    5.00;   -2.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19430101;19430131;    5;  -999;   0.40;    3.70;   -3.30;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19430201;19430228;    5;  -999;   3.10;    7.70;   -1.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19430301;19430331;    5;  -999;   6.70;   13.10;    0.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19430401;19430430;    5;  -999;   9.90;   15.30;    4.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19430501;19430531;    5;  -999;  13.40;   18.80;    7.30;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19430601;19430630;    5;  -999;  14.50;   19.30;    9.30;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19430701;19430731;    5;  -999;  18.00;   23.90;   11.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19430801;19430831;    5;  -999;  18.70;   24.90;   12.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19430901;19430930;    5;  -999;  14.50;   20.40;    9.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19431001;19431031;    5;  -999;  10.10;   16.30;    5.30;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19431101;19431130;    5;  -999;   2.30;    5.70;   -0.90;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19431201;19431231;    5;  -999;   0.30;    2.70;   -1.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19440101;19440131;    5;  -999;   2.70;    5.20;   -0.10;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19440201;19440229;    5;  -999;  -1.90;    0.90;   -5.60;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19440301;19440331;    5;  -999;   0.90;    4.40;   -2.30;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19440401;19440430;    5;  -999;   9.50;   14.60;    4.40;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19440501;19440531;    5;  -999;  12.20;   17.80;    6.10;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19440601;19440630;    5;  -999;  14.40;   19.40;    9.50;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19440701;19440731;    5;  -999;  17.20;   22.40;   12.40;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19440801;19440831;    5;  -999;  20.00;   26.30;   14.10;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19440901;19440930;    5;  -999;  13.00;   18.60;    8.60;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19441001;19441031;    5;  -999;   8.70;   13.00;    5.50;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19441101;19441130;    5;  -999;   3.90;    7.10;    1.50;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19441201;19441231;    5;  -999;  -0.20;    2.50;   -3.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19450101;19450131;    5;  -999;  -5.30;   -2.10;   -9.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19520901;19520930;    5;  -999;  11.20;   15.60;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19521001;19521031;    5;  -999;   8.00;   11.90;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19521101;19521130;    5;  -999;   2.00;    4.50;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19521201;19521231;    5;  -999;  -0.40;    1.70;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19530101;19530131;    5;  6.96;  -1.56;    0.42;   -3.95;    1.53;  10.4;-999; -12.8;-999;    5;    22.9;    9.8;eor
       4931;19530201;19530228;    5;  6.14;   0.37;    3.18;   -2.51;    2.19;  10.9;-999; -14.4;-999;    5;    24.0;    5.2;eor
       4931;19530301;19530331;    5;  3.00;   6.04;   12.15;   -0.01;    1.77;  21.5;-999;  -4.2;-999;    5;     3.5;    2.4;eor
       4931;19530401;19530430;    5;  4.73;  10.09;   15.61;    5.08;    1.69;  24.0;-999;  -0.2;-999;    5;    59.7;   27.6;eor
